"","AUC","k"
"1",0.870894307332329,5
"2",0.890632949486031,25
"3",0.894081662459222,45
"4",0.895612961493605,65
"5",0.896423853697503,85
"6",0.896931143175364,105
"7",0.897264297069738,125
"8",0.897448529895133,145
"9",0.897482868885495,165
"10",0.897719711967305,185
"11",0.897766350346669,205
"12",0.897824969438271,225
"13",0.897831267662643,245
"14",0.897905515164853,265
"15",0.8977692707368,285
"16",0.897836872050294,305
"17",0.897846925360831,325
"18",0.897835648945163,345
"19",0.897816815636502,365
"20",0.897718587882087,385
"21",0.89771845260136,405
